project_id,project_status,project_name,street_number,street_name,street_type,zip_code,block,lot,city_analysis_neighborhood,planning_neighborhood,lead_agency,program_area,project_area,project_type,housing_tenure,estimated_actual_construction_start_date,project_lead_sponsor,planning_case_number,planning_entitlements,entitlement_approval,building_permit_number,project_units,affordable_units,market_rate_units,affordable,sro_units,studio_units,_1bd_units,_2bd_units,_3bd_units,_4bd_units,_5_bd_units,mobility_units,manager_units,manager_unit_s_type,family_units,senior_units,tay_units,homeless_units,disabled_units,losp_units,public_housing_replacement_units,latitude,longitude,location,estimated_construction_completion,bedrooms_to_be_determined,project_owner,project_co_sponsor
2015-033c,(5) First Construction Document Issued,Sunnydale Block 3A,,,,94134.0,,,Visitacion Valley,Visitacion Valley,MOHCD,HOPE SF,Not in an OCII Project Area,New Construction,Rental,2023-06-12T00:00:00.000,Related California,2010.0305,,,202106031523,80,79,1,99.0,0,4,24,28,15,8,0,14,1,3bd,0,0,0,0,0,0,60,37.7120506,-122.4164666,"{
  ""location"": {
    ""latitude"": ""37.7120506"",
    ""longitude"": ""-122.4164666""
  }
}",2025-04-01T00:00:00.000,,Mercy Housing CA,Mercy Housing CA
2012-001f,(2) Predevelopment Feasibility,Alice Griffith Phase 5 (Blocks 14 & 15),,,,94124.0,,,Bayview Hunters Point,Bayview,OCII,HOPE SF,Candlestick Point,New Construction,Rental,2024-04-01T00:00:00.000,,Not Applicable,,,,36,35,1,97.0,0,0,0,0,0,29,6,4,1,2bd,35,0,0,0,0,0,30,37.71876424,-122.3877368,"{
  ""location"": {
    ""latitude"": ""37.71876424"",
    ""longitude"": ""-122.3877368""
  }
}",2025-12-01T00:00:00.000,,,
2015-033d,(3) Design with Entitlements Approved,Sunnydale Block 7,,,,,,,Visitacion Valley,Visitacion Valley,MOHCD,HOPE SF,Not in an OCII Project Area,New Construction,Rental,2023-09-11T00:00:00.000,Mercy Housing CA,,,,,89,80,9,90.0,0,0,14,43,23,0,0,14,1,1,0,0,0,0,0,0,0,,,"{
  ""location"": null
}",2025-09-01T00:00:00.000,,,
2012-001g,(2) Predevelopment Feasibility,Alice Griffith Phase 6 (Block 9),,,,94124.0,,,Bayview Hunters Point,Bayview,OCII,HOPE SF,Candlestick Point,New Construction,Rental,2024-04-01T00:00:00.000,McCormack Baron Salazar,Not Applicable,,,,131,130,1,99.0,0,0,130,0,0,0,0,13,1,2bd,0,130,0,0,0,0,0,37.7188128,-122.3867505,"{
  ""location"": {
    ""latitude"": ""37.7188128"",
    ""longitude"": ""-122.3867505""
  }
}",2025-12-01T00:00:00.000,,Entity to be formed,
2015-033f,(5) First Construction Document Issued,Sunnydale Block 3B,,,,94134.0,,,Visitacion Valley,Visitacion Valley,MOHCD,HOPE SF,Not in an OCII Project Area,New Construction,Rental,2023-03-29T00:00:00.000,Related California,2010.0305,,,202106031549,90,89,1,99.0,0,4,24,36,26,0,0,23,1,3bd,22,0,0,0,0,0,67,37.7120506,-122.4164666,"{
  ""location"": {
    ""latitude"": ""37.7120506"",
    ""longitude"": ""-122.4164666""
  }
}",2025-01-01T00:00:00.000,,Mercy Housing CA,
2006-021d,(4) Site Work Permit Issued,Hunters View Phase III,201,West Point,Rd,94124.0,4624,32,Bayview Hunters Point,Bayview,MOHCD,HOPE SF,Not in an OCII Project Area,New Construction,Rental,2023-05-31T00:00:00.000,The John Stewart Company,2009.1075,,,,118,117,1,99.0,0,0,52,11,16,34,5,19,1,2bd,117,0,0,0,0,0,54,37.7355043,-122.3798662,"{
  ""location"": {
    ""latitude"": ""37.7355043"",
    ""longitude"": ""-122.3798662""
  }
}",2024-12-01T00:00:00.000,,,
2015-033e,(3) Design with Entitlements Approved,Sunnydale Block 9,1652,Sunnydale,Ave,94134.0,6310,1,Visitacion Valley,Visitacion Valley,MOHCD,HOPE SF,Not in an OCII Project Area,New Construction,Rental,,Related California,,,,202211146447,100,100,0,100.0,0,0,30,35,25,10,0,15,0,0,0,0,0,0,0,0,0,37.71362,-122.42197,"{
  ""location"": {
    ""latitude"": ""37.71362"",
    ""longitude"": ""-122.42197""
  }
}",,,,
2012-019b,(5) First Construction Document Issued,Potrero Block B,1801,25th,St,94107.0,4285B,1,Potrero Hill,Potrero Hill,MOHCD,HOPE SF,Not in an OCII Project Area,New Construction,Rental,2022-08-11T00:00:00.000,BRIDGE Housing,2010.0515PHA,,,,157,155,2,99.0,0,0,40,54,52,11,0,24,2,"2bd, 3bd",155,0,0,0,0,0,117,37.7523266,-122.3965365,"{
  ""location"": {
    ""latitude"": ""37.7523266"",
    ""longitude"": ""-122.3965365""
  }
}",2024-09-01T00:00:00.000,,,
2022-001,(5) First Construction Document Issued,36 Amber Drive,36,Amber,Dr,94131.0,7504,24,Noe Valley,Diamond Heights,MOHCD,BMR-Other,Not in an OCII Project Area,New Construction,Ownership,,,,,,201812198760,8,8,0,100.0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,37.7463077,-122.4442688,"{
  ""location"": {
    ""latitude"": ""37.7463077"",
    ""longitude"": ""-122.4442688""
  }
}",,,,
2021-014,(4) Site Work Permit Issued,1005 Powell,1009,Powell,St,94108.0,212,8,Nob Hill,Nob Hill,MOHCD,Big Sites Program,Not in an OCII Project Area,Rehabilitation,Rental,,,2022-001994PRL,,,202112295154; 202202228422; 202202258773; 202204142240; 202210134313,64,63,1,98.0,64,0,0,0,0,0,0,4,1,1,0,63,0,0,0,0,0,37.7940883,-122.4097954,"{
  ""location"": {
    ""latitude"": ""37.7940883"",
    ""longitude"": ""-122.4097954""
  }
}",,,,
